"","minpts","eps","eps2","id","f_measure"
"119",25,1.75,120,"AB_1",0.444444444444444
"120",30,1.75,120,"AB_1",0
"121",5,2.5,120,"AB_1",0.642468239564428
"122",10,2.5,120,"AB_1",0.696078431372549
"123",15,2.5,120,"AB_1",0.611702127659574
"124",20,2.5,120,"AB_1",0.609625668449198
"125",25,2.5,120,"AB_1",0.609625668449198
"126",30,2.5,120,"AB_1",0.609625668449198
"127",5,3.25,120,"AB_1",0.482456140350877
"128",10,3.25,120,"AB_1",0.678815489749431
"129",15,3.25,120,"AB_1",0.712530712530713
"130",20,3.25,120,"AB_1",0.619047619047619
"131",25,3.25,120,"AB_1",0.619047619047619
"132",30,3.25,120,"AB_1",0.615384615384615
"133",5,4,120,"AB_1",0.456204379562044
"134",10,4,120,"AB_1",0.69022869022869
"135",15,4,120,"AB_1",0.723809523809524
"136",20,4,120,"AB_1",0.712195121951219
"137",25,4,120,"AB_1",0.626315789473684
"138",30,4,120,"AB_1",0.626315789473684
"139",5,4.75,120,"AB_1",0.447735191637631
"140",10,4.75,120,"AB_1",0.66412213740458
"141",15,4.75,120,"AB_1",0.73536299765808
"142",20,4.75,120,"AB_1",0.732860520094563
"143",25,4.75,120,"AB_1",0.728571428571429
"144",30,4.75,120,"AB_1",0.711864406779661
"145",5,1,150,"AB_1",0.620865139949109
"146",10,1,150,"AB_1",0.531073446327684
"147",15,1,150,"AB_1",0.439759036144578
"148",20,1,150,"AB_1",0.143884892086331
"149",25,1,150,"AB_1",0
"150",30,1,150,"AB_1",0
"151",5,1.75,150,"AB_1",0.655097613882863
"152",10,1.75,150,"AB_1",0.652849740932642
"153",15,1.75,150,"AB_1",0.602150537634409
"154",20,1.75,150,"AB_1",0.575342465753425
"155",25,1.75,150,"AB_1",0.444444444444444
"156",30,1.75,150,"AB_1",0
"157",5,2.5,150,"AB_1",0.642468239564428
"158",10,2.5,150,"AB_1",0.696078431372549
"159",15,2.5,150,"AB_1",0.611702127659574
"160",20,2.5,150,"AB_1",0.608
"161",25,2.5,150,"AB_1",0.609625668449198
"162",30,2.5,150,"AB_1",0.609625668449198
"163",5,3.25,150,"AB_1",0.482456140350877
"164",10,3.25,150,"AB_1",0.678815489749431
"165",15,3.25,150,"AB_1",0.712530712530713
"166",20,3.25,150,"AB_1",0.619047619047619
"167",25,3.25,150,"AB_1",0.619047619047619
"168",30,3.25,150,"AB_1",0.615384615384615
"169",5,4,150,"AB_1",0.456204379562044
"170",10,4,150,"AB_1",0.692946058091286
"171",15,4,150,"AB_1",0.726840855106888
"172",20,4,150,"AB_1",0.721549636803874
"173",25,4,150,"AB_1",0.62992125984252
"174",30,4,150,"AB_1",0.62992125984252
"175",5,4.75,150,"AB_1",0.447735191637631
"176",10,4.75,150,"AB_1",0.66412213740458
"177",15,4.75,150,"AB_1",0.738317757009346
"178",20,4.75,150,"AB_1",0.738823529411765
"179",25,4.75,150,"AB_1",0.734597156398104
"180",30,4.75,150,"AB_1",0.724220623501199
"181",5,1,180,"AB_1",0.620865139949109
"182",10,1,180,"AB_1",0.531073446327684
"183",15,1,180,"AB_1",0.439759036144578
"184",20,1,180,"AB_1",0.143884892086331
"185",25,1,180,"AB_1",0
"186",30,1,180,"AB_1",0
"187",5,1.75,180,"AB_1",0.655097613882863
"188",10,1.75,180,"AB_1",0.652849740932642
"189",15,1.75,180,"AB_1",0.602150537634409
"190",20,1.75,180,"AB_1",0.575342465753425
"191",25,1.75,180,"AB_1",0.444444444444444
"192",30,1.75,180,"AB_1",0
"193",5,2.5,180,"AB_1",0.642468239564428
"194",10,2.5,180,"AB_1",0.696078431372549
"195",15,2.5,180,"AB_1",0.611702127659574
"196",20,2.5,180,"AB_1",0.608
"197",25,2.5,180,"AB_1",0.609625668449198
"198",30,2.5,180,"AB_1",0.609625668449198
"199",5,3.25,180,"AB_1",0.482456140350877
"200",10,3.25,180,"AB_1",0.678815489749431
"201",15,3.25,180,"AB_1",0.712530712530713
"202",20,3.25,180,"AB_1",0.619047619047619
"203",25,3.25,180,"AB_1",0.619047619047619
"204",30,3.25,180,"AB_1",0.615384615384615
"205",5,4,180,"AB_1",0.456204379562044
"206",10,4,180,"AB_1",0.692946058091286
"207",15,4,180,"AB_1",0.726840855106888
"208",20,4,180,"AB_1",0.721549636803874
"209",25,4,180,"AB_1",0.62992125984252
"210",30,4,180,"AB_1",0.62992125984252
"211",5,4.75,180,"AB_1",0.447735191637631
"212",10,4.75,180,"AB_1",0.66412213740458
"213",15,4.75,180,"AB_1",0.738317757009346
"214",20,4.75,180,"AB_1",0.738823529411765
"215",25,4.75,180,"AB_1",0.734597156398104
"216",30,4.75,180,"AB_1",0.724220623501199
"217",5,1,30,"AB_2",0.208
"218",10,1,30,"AB_2",0.0442477876106195
"219",15,1,30,"AB_2",0
"220",20,1,30,"AB_2",0
"221",25,1,30,"AB_2",0
"222",30,1,30,"AB_2",0
"223",5,1.75,30,"AB_2",0.379939209726444
"224",10,1.75,30,"AB_2",0.103004291845494
"225",15,1.75,30,"AB_2",0
"226",20,1.75,30,"AB_2",0
"227",25,1.75,30,"AB_2",0
"228",30,1.75,30,"AB_2",0
"229",5,2.5,30,"AB_2",0.413641364136414
"230",10,2.5,30,"AB_2",0.297551789077213
"231",15,2.5,30,"AB_2",0.0656455142231947
"232",20,2.5,30,"AB_2",0
"233",25,2.5,30,"AB_2",0
"234",30,2.5,30,"AB_2",0
"235",5,3.25,30,"AB_2",0.408800567778566
"236",10,3.25,30,"AB_2",0.351351351351351
"237",15,3.25,30,"AB_2",0.0740740740740741
"238",20,3.25,30,"AB_2",0
"239",25,3.25,30,"AB_2",0
"240",30,3.25,30,"AB_2",0
"241",5,4,30,"AB_2",0.398514851485149
"242",10,4,30,"AB_2",0.388652482269504
"243",15,4,30,"AB_2",0.316190476190476
"244",20,4,30,"AB_2",0
"245",25,4,30,"AB_2",0
"246",30,4,30,"AB_2",0
"247",5,4.75,30,"AB_2",0.407894736842105
"248",10,4.75,30,"AB_2",0.478002378121284
"249",15,4.75,30,"AB_2",0.34634974533107
"250",20,4.75,30,"AB_2",0
"251",25,4.75,30,"AB_2",0
"252",30,4.75,30,"AB_2",0
"253",5,1,60,"AB_2",0.208
"254",10,1,60,"AB_2",0.0442477876106195
"255",15,1,60,"AB_2",0
"256",20,1,60,"AB_2",0
"257",25,1,60,"AB_2",0
"258",30,1,60,"AB_2",0
"259",5,1.75,60,"AB_2",0.408955223880597
"260",10,1.75,60,"AB_2",0.103004291845494
"261",15,1.75,60,"AB_2",0
"262",20,1.75,60,"AB_2",0
"263",25,1.75,60,"AB_2",0
"264",30,1.75,60,"AB_2",0
"265",5,2.5,60,"AB_2",0.418859649122807
"266",10,2.5,60,"AB_2",0.303939962476548
"267",15,2.5,60,"AB_2",0.0656455142231947
"268",20,2.5,60,"AB_2",0
"269",25,2.5,60,"AB_2",0
"270",30,2.5,60,"AB_2",0
"271",5,3.25,60,"AB_2",0.412181303116147
"272",10,3.25,60,"AB_2",0.392092257001647
"273",15,3.25,60,"AB_2",0.0740740740740741
"274",20,3.25,60,"AB_2",0
